StartTime:Replica:FinishTime:OperationTime:Result:Access:Type
363:0:406:43:beginning:w:tx payment 02
401:0:412:11:beginning:w:tx neworder
406:0:446:40:processing:w:tx payment 02
446:0:455:9:committing:w:tx payment 02
113:0:455:342:commit:w:tx payment 02
453:0:456:3:aborting:w:tx neworder
529:0:530:1:beginning:w:tx neworder
530:0:544:14:processing:w:tx neworder
544:0:548:4:committing:w:tx neworder
529:0:548:19:commit:w:tx neworder
651:0:653:2:beginning:w:tx neworder
653:0:664:11:processing:w:tx neworder
664:0:667:3:committing:w:tx neworder
651:0:667:16:commit:w:tx neworder
793:0:794:1:beginning:w:tx neworder
795:0:800:5:processing:w:tx neworder
800:0:804:4:committing:w:tx neworder
793:0:805:12:commit:w:tx neworder
819:0:820:1:beginning:w:tx payment 02
820:0:821:1:beginning:w:tx neworder
820:0:826:6:processing:w:tx payment 02
827:0:827:0:aborting:w:tx neworder
826:0:830:4:committing:w:tx payment 02
819:0:830:11:commit:w:tx payment 02
848:0:849:1:beginning:w:tx payment 02
849:0:851:2:processing:w:tx payment 02
851:0:854:3:committing:w:tx payment 02
848:0:854:6:commit:w:tx payment 02
855:0:856:1:beginning:w:tx neworder
856:0:866:10:processing:w:tx neworder
866:0:871:5:committing:w:tx neworder
855:0:871:16:commit:w:tx neworder
1029:0:1030:1:beginning:w:tx neworder
1030:0:1036:6:processing:w:tx neworder
1035:0:1040:5:beginning:w:tx neworder
1036:0:1041:5:committing:w:tx neworder
1029:0:1041:12:commit:w:tx neworder
1043:0:1044:1:beginning:w:tx neworder
1051:0:1053:2:aborting:w:tx neworder
1044:0:1060:16:processing:w:tx neworder
1060:0:1063:3:committing:w:tx neworder
1036:0:1063:27:commit:w:tx neworder
1197:0:1198:1:beginning:w:tx payment 02
1198:0:1201:3:processing:w:tx payment 02
1201:0:1202:1:committing:w:tx payment 02
1197:0:1203:6:commit:w:tx payment 02
1247:0:1248:1:beginning:w:tx neworder
1248:0:1253:5:processing:w:tx neworder
1253:0:1256:3:committing:w:tx neworder
1247:0:1256:9:commit:w:tx neworder
1295:0:1297:2:beginning:w:tx payment 02
1297:0:1302:5:processing:w:tx payment 02
1302:0:1304:2:committing:w:tx payment 02
1295:0:1304:9:commit:w:tx payment 02
1339:0:1341:2:beginning:w:tx payment 02
1341:0:1342:1:processing:w:tx payment 02
1343:0:1345:2:committing:w:tx payment 02
1339:0:1345:6:commit:w:tx payment 02
1382:0:1384:2:beginning:w:tx payment 02
1384:0:1387:3:processing:w:tx payment 02
1387:0:1388:1:beginning:r:tx stocklevel
1387:0:1389:2:committing:w:tx payment 02
1382:0:1389:7:commit:w:tx payment 02
1393:0:1394:1:beginning:w:tx neworder
1388:0:1399:11:processing:r:tx stocklevel
1399:0:1399:0:committing:r:tx stocklevel
1387:0:1400:13:commit:r:tx stocklevel
1394:0:1402:8:processing:w:tx neworder
1402:0:1405:3:committing:w:tx neworder
1393:0:1405:12:commit:w:tx neworder
1607:0:1609:2:beginning:r:tx stocklevel
1609:0:1617:8:processing:r:tx stocklevel
1617:0:1618:1:committing:r:tx stocklevel
1607:0:1618:11:commit:r:tx stocklevel
1713:0:1714:1:beginning:w:tx neworder
1714:0:1721:7:processing:w:tx neworder
